"","Code","SampleID","calibrated","SampleCode","Frame","Treatment","TreeNumber","Sampling_Number"
"72",3112,"J365",0.402865673557154,"F_UV_052_(1st sampling)","F","UV","052","01"
"73",3123,"J368",0.521999969548839,"F_CON_060_(1st sampling)","F","CON","060","01"
"74",3124,"J371",0.541867051956657,"A_UV_001_(1st sampling)","A","UV","001","01"
"75",3125,"J374",0.526681477176033,"A_UV_001_(2nd sampling)","A","UV","001","02"
"76",3126,"J377",0.617131195754142,"A_UV_004_(1st sampling)","A","UV","004","01"
"77",3127,"J380",0.50116346000258,"A_UV_004_(2nd sampling)","A","UV","004","02"
"78",3128,"J383",0.508365641900131,"A_CON_006_(1st sampling)","A","CON","006","01"
"79",3129,"J386",0.506757447341573,"A_CON_006_(2nd sampling)","A","CON","006","02"
"80",3130,"J389",0.457965394048839,"B_UV_014_(1st sampling)","B","UV","014","01"
"81",3131,"J392",0.561279481408006,"B_CON_016_(1st sampling)","B","CON","016","01"
"82",3132,"J395",0.516855435641783,"B_CON_016_(2nd sampling)","B","CON","016","02"
"83",3133,"J398",0.468766054817421,"C_CON_028_(1st sampling)","C","CON","028","01"
"84",3134,"J401",0.426167731048651,"C_CON_028_(2nd sampling)","C","CON","028","02"
"85",3135,"J404",0.501814901911674,"C_CON_029_(1st sampling)","C","CON","029","01"
"86",3136,"J407",0.482688380261541,"C_CON_029_(2nd sampling)","C","CON","029","02"
"87",3137,"J410",0.480367686049768,"C_CON_029_(3rd sampling)","C","CON","029","03"
"88",3138,"J413",0.487858199376991,"C_CON_030_(1st sampling)","C","CON","030","01"
"89",3149,"J416",0.514076740828893,"C_CON_030_(2nd sampling)","C","CON","030","02"
"90",3150,"J419",0.56850580950933,"D_UV_031_(1st sampling)","D","UV","031","01"
"91",3151,"J422",0.562026238790692,"D_UV_031_(2nd sampling)","D","UV","031","02"
"92",3152,"J425",0.535458296688951,"D_UV_031_(3rd sampling)","D","UV","031","03"
"93",3153,"J428",0.525118705539267,"D_UV_032_(1st sampling)","D","UV","032","01"
"94",3154,"J431",0.4776916608905,"D_UV_032_(2nd sampling)","D","UV","032","02"
"95",3155,"J434",0.522690807828974,"D_UV_033_(1st sampling)","D","UV","033","01"
"96",3156,"J437",0.539567371634157,"D_UV_033_(2nd sampling)","D","UV","033","02"
"97",3157,"J440",0.60376972281072,"D_UV_034_(1st sampling)","D","UV","034","01"
"98",3158,"J443",0.580306817164635,"D_UV_034_(2nd sampling)","D","UV","034","02"
"99",3159,"J446",0.506114436017325,"D_UV_035_(1st sampling)","D","UV","035","01"
"100",3160,"J449",0.452760055307835,"D_UV_035_(2nd sampling)","D","UV","035","02"
"101",3161,"J452",0.52525701276222,"D_CON_036_(1st sampling)","D","CON","036","01"
"102",3162,"J455",0.539385582255037,"D_CON_036_(2nd sampling)","D","CON","036","02"
"103",3163,"J458",0.48612106120592,"D_CON_036_(3rd sampling)","D","CON","036","03"
"104",3164,"J461",0.541721329799039,"D_CON_040_(1st sampling)","D","CON","040","01"
