"","Date","Code","SampleID","i161","i196","Ratio","nGrains","calibrated","SampleCode","Frame","Treatment","TreeNumber","Sampling_Number","calBatch"
"36",2025-02-19,3056,"J439",3649501,4866291,0.749955356142902,150,0.577689462122031,"D_UV_034_(1st sampling)","D","UV","034","01","2025-02-19"
"37",2025-02-19,3057,"J442",3810384,5232184,0.72825879212199,150,0.566183627013126,"D_UV_034_(2nd sampling)","D","UV","034","02","2025-02-19"
"38",2025-02-19,3058,"J445",3114620,5022459,0.620138462056136,150,0.508846682395582,"D_UV_035_(1st sampling)","D","UV","035","01","2025-02-19"
"39",2025-02-19,3059,"J448",2380306,4742672,0.501891338890819,150,0.446139430688303,"D_UV_035_(2nd sampling)","D","UV","035","02","2025-02-19"
"40",2025-02-19,3060,"J451",3448824,4909374,0.702497711520858,150,0.552522351184468,"D_CON_036_(1st sampling)","D","CON","036","01","2025-02-19"
"41",2025-02-20,3071,"J454",3293867,4912343,0.670528706973434,150,0.492556262786628,"D_CON_036_(2nd sampling)","D","CON","036","02","2025-02-20"
"42",2025-02-20,3072,"J457",3001256,4962485,0.604788931351934,150,0.460669072330474,"D_CON_036_(3rd sampling)","D","CON","036","03","2025-02-20"
"43",2025-02-20,3073,"J460",3405213,4988987,0.682545975766223,150,0.49838525954142,"D_CON_040_(1st sampling)","D","CON","040","01","2025-02-20"
"44",2025-02-20,3074,"J511",4008372,4828000,0.830234465617233,150,0.570021813812238,"D_CON_040_(2nd sampling)","D","CON","040","02","2025-02-20"
"45",2025-02-20,3075,"J514",4382118,4991703,0.877880354660524,150,0.593132533677235,"E_CON_047_(1st sampling)","E","CON","047","01","2025-02-20"
"46",2025-02-20,3076,"J517",3627420,4988736,0.72712206057807,150,0.520006965620383,"E_CON_048_(1st sampling)","E","CON","048","01","2025-02-20"
"47",2025-02-20,3077,"J520",3501263,4924093,0.711047293379715,150,0.512209872333307,"E_CON_048_(2nd sampling)","E","CON","048","02","2025-02-20"
"48",2025-02-20,3078,"J523",3501634,4975556,0.703767377957358,150,0.508678736922777,"E_CON_048_(3rd sampling)","E","CON","048","03","2025-02-20"
"49",2025-02-20,3079,"J526",3140261,5075378,0.618724556082325,150,0.467428570909568,"F_UV_053_(1st sampling)","F","UV","053","01","2025-02-20"
"50",2025-02-20,3080,"J529",3167150,4979959,0.635979131555099,150,0.475797932215396,"F_UV_053_(2nd sampling)","F","UV","053","02","2025-02-20"
"51",2025-02-20,3081,"J532",3924707,4872592,0.805465961443109,150,0.558007808555183,"F_UV_054_(1st sampling)","F","UV","054","01","2025-02-20"
"52",2025-02-20,3082,"J535",3337604,5067238,0.65866335861864,150,0.486800955299783,"F_UV_054_(2nd sampling)","F","UV","054","02","2025-02-20"
"53",2025-02-20,3083,"J538",3240893,5044983,0.642399191434342,150,0.478911993226009,"F_UV_054_(3rd sampling)","F","UV","054","03","2025-02-20"
"54",2025-02-20,3084,"J541",2576656,5190146,0.496451544908371,150,0.408119837983557,"F_UV_055_(1st sampling)","F","UV","055","01","2025-02-20"
"55",2025-02-20,3085,"J608",2488297,4958562,0.501818269086884,150,0.410722976713315,"F_UV_055_(2nd sampling)","F","UV","055","02","2025-02-20"
"56",2025-02-20,3086,"J611",3910543,5327368,0.734047845014649,150,0.523366329191366,"F_CON_056_(1st sampling)","F","CON","056","01","2025-02-20"
"57",2025-02-21,3097,"J614",2948734,5986328,0.492578087936378,150,0.503862320020204,"F_CON_056_(2nd sampling)","F","CON","056","02","2025-02-21"
"58",2025-02-21,3098,"J617",2349867,5215016,0.450596316483018,150,0.480528866989491,"F_CON_057_(1st sampling)","F","CON","057","01","2025-02-21"
"59",2025-02-21,3099,"J620",2962568,NA,NA,150,NA,"F_CON_057_(2nd sampling)","F","CON","057","02","2025-02-21"
"60",2025-02-21,3100,"J623",3044531,5190860,0.586517648328023,150,0.556073892906293,"F_CON_059_(1st sampling)","F","CON","059","01","2025-02-21"
"61",2025-02-21,3101,"J626",2774970,4937721,0.561994085935597,150,0.542443706008031,"F_CON_059_(2nd sampling)","F","CON","059","02","2025-02-21"
"62",2025-02-21,3102,"J335",3351089,5486788,0.61075605618442,150,0.569545591019004,"A_UV_002_(1st sampling)","A","UV","002","01","2025-02-21"
"63",2025-02-21,3103,"J338",3406187,5265118,0.646934598616783,150,0.589653611508398,"B_UV_012_(1st sampling)","B","UV","012","01","2025-02-21"
"64",2025-02-21,3104,"J341",2921070,5223345,0.559233594564403,150,0.540909425925948,"B_CON_017_(1st sampling)","B","CON","017","01","2025-02-21"
"65",2025-02-21,3105,"J344",2111858,5093170,0.414645103147941,150,0.460547195928205,"B_CON_020_(1st sampling)","B","CON","020","01","2025-02-21"
"66",2025-02-21,3106,"J347",3157850,4949314,0.638037917982169,150,0.58470883970553,"C_UV_023_(1st sampling)","C","UV","023","01","2025-02-21"
"67",2025-02-21,3107,"J350",3230625,4998212,0.646356136954575,150,0.589332102730708,"C_UV_025_(1st sampling)","C","UV","025","01","2025-02-21"
"68",2025-02-21,3108,"J353",3422912,5246348,0.652437085759465,150,0.592711891825095,"C_CON_027_(1st sampling)","C","CON","027","01","2025-02-21"
"69",2025-02-21,3109,"J356",3252797,5399772,0.602395249280896,150,0.564898657637478,"D_CON_039_(1st sampling)","D","CON","039","01","2025-02-21"
"70",2025-02-21,3110,"J360",3265895,5444517,0.599850271383118,150,0.563484159864129,"E_UV_043_(1st sampling)","E","UV","043","01","2025-02-21"
"71",2025-02-21,3111,"J362",4108467,5123225,0.801929839115011,150,0.675799908792858,"E_CON_049_(1st sampling)","E","CON","049","01","2025-02-21"
