#Daily/Hourly Sums represent an integration over time. Basically by summing the readings over the number of seconds in the measurement period, the units of radiant power are converted to radiant energy and are useful for studying effects related to exposure. Current available values are Caldwell biological spectral weighting function, Flint biological spectral weighting function, erythemally weighted irradiance, UV-A irradiance, and UV-B irradiance and spectral weighting function Vitamin D.
#Location: North Carolina,Raleigh
#Latitude: 35.728000 N
#Longitude: 78.680000 W
#Elevation: 120 m
#Internal ID: NC02
#Local Standard Date Time: YYYY-MM-DD
#Local Day of year: DOY
#Sums: UVA (J/(m^2 day/hour)), UVB (J/(m^2 day/hour)), Erythemal (J/(m^2 day/hour)), Flint (J/(m^2 day/hour)), Caldwell (J/(m^2 day/hour)), Vitamin D (J/(m^2 day/hour))
ID  ,Date      ,DOY,       UVA,       UVB, Erythemal,     Flint,  Caldwell, Vitamin D
NC02,2010-01-01,  1,276400.000,  3637.800,   464.580,  2390.900,   414.610,   672.500
NC02,2010-01-02,  2,522460.000,  4852.700,   686.570,  3410.600,   472.380,   830.550
NC02,2010-01-03,  3,576640.000,  5271.700,   745.300,  3696.300,   523.370,   910.700
NC02,2010-01-04,  4,578270.000,  4759.000,   701.330,  3437.700,   445.860,   801.270
NC02,2010-01-05,  5,494650.000,  4263.400,   627.640,  3076.800,   395.410,   714.590
NC02,2010-01-06,  6,418470.000,  3775.100,   553.850,  2726.300,   325.570,   612.940
NC02,2010-01-07,  7,546260.000,  5364.500,   745.410,  3714.400,   536.380,   929.280
NC02,2010-01-08,  8,607900.000,  5515.200,   762.900,  3781.100,   609.260,  1004.800
NC02,2010-01-09,  9,498850.000,  4999.500,   693.730,  3470.300,   496.330,   863.350
NC02,2010-01-10, 10,535470.000,  4933.300,   709.920,  3506.200,   461.850,   830.530
NC02,2010-01-11, 11,522150.000,  5160.100,   718.320,  3579.100,   513.110,   891.920
NC02,2010-01-12, 12,281840.000,  2674.700,   381.360,  1910.200,   252.670,   452.090
NC02,2010-01-13, 13,571710.000,  6502.100,   863.500,  4320.800,   744.020,  1206.600
NC02,2010-01-14, 14,591900.000,  6886.500,   901.790,  4504.100,   856.220,  1338.500
NC02,2010-01-15, 15,596250.000,  7251.600,   943.810,  4725.000,   907.340,  1414.400
NC02,2010-01-16, 16,433470.000,  5971.200,   755.020,  3820.700,   780.610,  1194.300
NC02,2010-01-17, 17,376230.000,  5011.100,   637.830,  3235.000,   628.060,   978.050
NC02,2010-01-18, 18,662980.000,  8056.700,  1041.500,  5214.900,  1024.800,  1586.400
NC02,2010-01-19, 19,653950.000,  7813.000,  1019.600,  5099.000,   962.540,  1510.500
NC02,2010-01-20, 20,502890.000,  6454.100,   826.640,  4176.000,   802.400,  1253.600
NC02,2010-01-21, 21, 45314.000,   600.880,    76.990,   399.150,    64.599,   107.720
NC02,2010-01-22, 22,144390.000,  1904.800,   244.090,  1259.800,   208.840,   345.470
NC02,2010-01-23, 23,725090.000,  9215.500,  1194.800,  5921.400,  1262.400,  1898.900
NC02,2010-01-24, 24,244780.000,  3636.400,   453.950,  2318.600,   468.860,   721.540
NC02,2010-01-25, 25,653730.000,  8288.600,  1069.600,  5357.800,  1069.900,  1647.100
NC02,2010-01-26, 26,666460.000,  7577.100,  1001.900,  5005.500,   919.080,  1453.600
NC02,2010-01-27, 27,733650.000,  9106.200,  1185.900,  5874.400,  1232.600,  1863.000
NC02,2010-01-28, 28,732140.000,  9379.100,  1213.500,  6037.400,  1243.100,  1894.200
NC02,2010-01-29, 29,400620.000,  5095.100,   656.640,  3340.200,   606.610,   965.980
NC02,2010-01-30, 30,151640.000,  2263.400,   285.630,  1483.400,   248.410,   410.370
NC02,2010-01-31, 31,815230.000, 10252.000,  1326.600,  6695.700,  1226.300,  1949.800
NC02,2010-02-01, 32,787710.000, 10950.000,  1391.500,  7017.600,  1397.700,  2161.300
NC02,2010-02-02, 33,188420.000,  2901.100,   361.070,  1862.500,   355.390,   558.620
NC02,2010-02-03, 34,760720.000, 10228.000,  1316.100,  6586.300,  1309.900,  2024.000
NC02,2010-02-04, 35,584450.000,  8608.900,  1087.100,  5457.000,  1169.200,  1763.700
NC02,2010-02-05, 36, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2010-02-06, 37,207670.000,  3326.000,   410.830,  2122.500,   401.600,   635.370
NC02,2010-02-07, 38,700680.000,  9981.300,  1263.500,  6390.800,  1236.500,  1935.900
NC02,2010-02-08, 39,681000.000,  9330.300,  1190.200,  6025.200,  1116.600,  1774.900
NC02,2010-02-09, 40,127420.000,  2103.400,   257.340,  1329.900,   264.370,   410.950
NC02,2010-02-10, 41,663850.000,  8454.600,  1100.800,  5570.000,   972.860,  1575.400
NC02,2010-02-11, 42,833490.000, 12252.000,  1546.700,  7783.200,  1606.100,  2457.100
NC02,2010-02-12, 43,484050.000,  7920.900,   974.920,  4969.900,  1038.300,  1587.100
NC02,2010-02-13, 44,545670.000,  7506.800,   957.800,  4912.100,   828.870,  1366.900
NC02,2010-02-14, 45,716790.000,  9435.400,  1215.100,  6188.000,  1017.600,  1697.400
NC02,2010-02-15, 46,266880.000,  3902.000,   488.760,  2525.200,   441.100,   718.340
NC02,2010-02-16, 47,702670.000,  9119.300,  1183.900,  6015.400,   996.000,  1652.500
NC02,2010-02-17, 48,709510.000,  9252.100,  1199.500,  6104.500,  1009.600,  1675.900
NC02,2010-02-18, 49,766970.000, 10206.000,  1311.100,  6678.100,  1135.500,  1866.400
NC02,2010-02-19, 50,862600.000, 12495.000,  1581.700,  7982.100,  1560.800,  2437.300
NC02,2010-02-20, 51,824060.000, 12298.000,  1546.500,  7828.900,  1537.200,  2399.300
NC02,2010-02-21, 52,804060.000, 12367.000,  1549.600,  7823.900,  1583.000,  2445.600
NC02,2010-02-22, 53,153460.000,  2269.200,   284.930,  1475.000,   251.450,   413.720
NC02,2010-02-23, 54,545340.000,  8253.800,  1039.400,  5289.400,  1003.200,  1585.400
NC02,2010-02-24, 55,149090.000,  2509.000,   307.790,  1595.700,   297.950,   475.100
NC02,2010-02-25, 56,606110.000,  8909.700,  1132.200,  5756.300,  1056.600,  1688.300
NC02,2010-02-26, 57,914380.000, 14143.000,  1781.700,  8973.800,  1815.800,  2804.000
NC02,2010-02-27, 58,895650.000, 13665.000,  1729.800,  8720.500,  1724.000,  2682.400
NC02,2010-02-28, 59,931650.000, 14328.000,  1814.900,  9129.700,  1824.600,  2828.500
NC02,2010-03-01, 60,864850.000, 13817.000,  1731.200,  8741.500,  1773.900,  2738.400
NC02,2010-03-02, 61,138040.000,  2213.100,   275.330,  1424.400,   254.810,   412.300
NC02,2010-03-03, 62,354750.000,  5648.000,   701.510,  3607.800,   676.830,  1075.400
NC02,2010-03-04, 63,856380.000, 12702.000,  1609.700,  8167.600,  1529.400,  2428.600
NC02,2010-03-05, 64,916670.000, 13245.000,  1686.600,  8548.600,  1552.600,  2494.600
NC02,2010-03-06, 65,998920.000, 14740.000,  1868.400,  9455.600,  1785.200,  2826.900
NC02,2010-03-07, 66,1008500.000, 15973.000,  1994.100, 10085.000,  2047.700,  3163.300
NC02,2010-03-08, 67,987580.000, 16425.000,  2048.500, 10284.000,  2225.300,  3361.200
NC02,2010-03-09, 68,972420.000, 17298.000,  2150.100, 10705.000,  2497.900,  3680.900
NC02,2010-03-10, 69,519130.000,  9876.400,  1215.300,  6086.100,  1439.700,  2113.400
NC02,2010-03-11, 70,486570.000,  9074.700,  1110.500,  5619.800,  1255.700,  1880.000
NC02,2010-03-12, 71,349590.000,  6755.700,   824.690,  4171.600,   963.600,  1425.500
NC02,2010-03-13, 72,783260.000, 13947.000,  1724.800,  8691.700,  1909.500,  2872.900
NC02,2010-03-14, 73,815990.000, 13208.000,  1645.000,  8350.100,  1657.700,  2583.500
NC02,2010-03-15, 74,778260.000, 12562.000,  1571.500,  7938.000,  1633.700,  2509.300
NC02,2010-03-16, 75,432320.000,  7862.000,   964.630,  4909.700,  1051.800,  1596.300
NC02,2010-03-17, 76,913110.000, 16186.000,  1999.200, 10052.000,  2228.600,  3344.600
NC02,2010-03-18, 77,689620.000, 11235.000,  1394.500,  7111.700,  1388.400,  2176.400
NC02,2010-03-19, 78,1140300.000, 19052.000,  2372.400, 11915.000,  2584.000,  3901.800
NC02,2010-03-20, 79,1148200.000, 20547.000,  2570.500, 12709.000,  3028.100,  4429.700
NC02,2010-03-21, 80,664790.000, 12472.000,  1541.300,  7683.500,  1838.700,  2687.900
NC02,2010-03-22, 81,942680.000, 17024.000,  2108.700, 10573.000,  2388.000,  3558.500
NC02,2010-03-23, 82,1095800.000, 19386.000,  2413.900, 12085.000,  2689.300,  4025.900
NC02,2010-03-24, 83,1188600.000, 22418.000,  2801.000, 13812.000,  3366.400,  4891.300
NC02,2010-03-25, 84,899960.000, 18136.000,  2253.100, 11095.000,  2801.100,  4027.400
NC02,2010-03-26, 85,657920.000, 12579.000,  1547.500,  7761.900,  1804.800,  2665.200
