#Daily/Hourly Sums represent an integration over time. Basically by summing the readings over the number of seconds in the measurement period, the units of radiant power are converted to radiant energy and are useful for studying effects related to exposure. Current available values are Caldwell biological spectral weighting function, Flint biological spectral weighting function, erythemally weighted irradiance, UV-A irradiance, and UV-B irradiance and spectral weighting function Vitamin D.
#Location: North Carolina,Raleigh
#Latitude: 35.728000 N
#Longitude: 78.680000 W
#Elevation: 120 m
#Internal ID: NC02
#Local Standard Date Time: YYYY-MM-DD
#Local Day of year: DOY
#Sums: UVA (J/(m^2 day/hour)), UVB (J/(m^2 day/hour)), Erythemal (J/(m^2 day/hour)), Flint (J/(m^2 day/hour)), Caldwell (J/(m^2 day/hour)), Vitamin D (J/(m^2 day/hour))
ID  ,Date      ,DOY,       UVA,       UVB, Erythemal,     Flint,  Caldwell, Vitamin D
NC02,2009-01-01,  1,625380.000,  6964.600,   911.510,  4570.100,   852.800,  1340.700
NC02,2009-01-02,  2, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2009-01-03,  3,487470.000,  6114.900,   791.110,  3974.700,   728.890,  1159.000
NC02,2009-01-04,  4,212600.000,  3078.400,   384.550,  1967.100,   383.580,   597.640
NC02,2009-01-05,  5,180920.000,  2861.200,   351.550,  1795.400,   378.140,   575.240
NC02,2009-01-06,  6, 59505.000,  1061.500,   128.000,   658.420,   139.790,   212.890
NC02,2009-01-07,  7, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2009-01-08,  8, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2009-01-09,  9, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2009-01-10, 10, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2009-01-11, 11, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2009-01-12, 12,594500.000,  7576.600,   969.680,  4837.300,   972.350,  1498.200
NC02,2009-01-13, 13,129070.000,  1956.100,   241.630,  1244.300,   231.080,   368.630
NC02,2009-01-14, 14,563790.000,  7279.200,   936.310,  4679.800,   892.130,  1401.600
NC02,2009-01-15, 15,575150.000,  7592.800,   973.150,  4858.200,   966.380,  1494.700
NC02,2009-01-16, 16,559340.000,  6833.700,   897.730,  4475.000,   784.130,  1269.500
NC02,2009-01-17, 17,662900.000,  8495.700,  1101.300,  5430.700,  1144.300,  1731.800
NC02,2009-01-18, 18, 91998.000,  1296.200,   163.340,   838.430,   143.620,   236.010
NC02,2009-01-19, 19,370290.000,  4878.400,   630.130,  3179.300,   560.030,   906.600
NC02,2009-01-20, 20,288860.000,  3134.000,   435.420,  2186.100,   303.920,   535.980
NC02,2009-01-21, 21,608960.000,  7314.900,   972.050,  4874.900,   777.910,  1306.200
NC02,2009-01-22, 22,715890.000, 10514.000,  1329.100,  6601.300,  1471.000,  2192.600
NC02,2009-01-23, 23,630650.000,  8993.400,  1143.800,  5685.000,  1216.400,  1836.800
NC02,2009-01-24, 24,273740.000,  4259.700,   527.930,  2685.000,   546.630,   841.990
NC02,2009-01-25, 25,176060.000,  2921.000,   356.710,  1831.200,   369.390,   572.130
NC02,2009-01-26, 26,377240.000,  6453.800,   792.600,  4002.100,   903.030,  1344.800
NC02,2009-01-27, 27,142800.000,  2510.700,   303.690,  1559.300,   327.930,   501.370
