#Daily/Hourly Sums represent an integration over time. Basically by summing the readings over the number of seconds in the measurement period, the units of radiant power are converted to radiant energy and are useful for studying effects related to exposure. Current available values are Caldwell biological spectral weighting function, Flint biological spectral weighting function, erythemally weighted irradiance, UV-A irradiance, and UV-B irradiance and spectral weighting function Vitamin D.
#Location: North Carolina,Raleigh
#Latitude: 35.728000 N
#Longitude: 78.680000 W
#Elevation: 120 m
#Internal ID: NC02
#Local Standard Date Time: YYYY-MM-DD
#Local Day of year: DOY
#Sums: UVA (J/(m^2 day/hour)), UVB (J/(m^2 day/hour)), Erythemal (J/(m^2 day/hour)), Flint (J/(m^2 day/hour)), Caldwell (J/(m^2 day/hour)), Vitamin D (J/(m^2 day/hour))
ID  ,Date      ,DOY,       UVA,       UVB, Erythemal,     Flint,  Caldwell, Vitamin D
NC02,2017-01-01,  1,139420.000,  2213.000,   277.190,  1409.800,   290.490,   443.740
NC02,2017-01-02,  2,148730.000,  2399.600,   300.290,  1517.500,   325.260,   491.110
NC02,2017-01-03,  3,200910.000,  3266.500,   408.540,  2058.100,   454.840,   679.370
NC02,2017-01-04,  4,480650.000,  7101.200,   907.970,  4500.400,  1004.800,  1492.700
NC02,2017-01-05,  5,306890.000,  4090.900,   529.340,  2660.300,   495.680,   783.250
NC02,2017-01-06,  6,229650.000,  3449.000,   436.790,  2209.700,   432.470,   673.260
NC02,2017-01-07,  7,234440.000,  3051.100,   399.560,  2002.000,   378.970,   592.960
NC02,2017-01-08,  8,584460.000,  6237.800,   869.700,  4278.800,   658.600,  1112.000
NC02,2017-01-09,  9,525850.000,  5901.200,   807.130,  3998.300,   634.240,  1061.400
NC02,2017-01-10, 10,552740.000,  7280.000,   948.180,  4720.700,   912.050,  1421.700
NC02,2017-01-11, 11,334250.000,  4568.700,   591.050,  2969.200,   554.380,   875.890
NC02,2017-01-12, 12,580610.000,  8178.200,  1054.600,  5209.100,  1121.300,  1685.900
NC02,2017-01-13, 13,560570.000,  8620.500,  1107.000,  5417.200,  1290.600,  1879.000
NC02,2017-01-14, 14,253100.000,  4049.500,   507.730,  2567.400,   540.000,   820.030
NC02,2017-01-15, 15,560270.000,  8611.100,  1102.700,  5420.600,  1269.600,  1858.200
NC02,2017-01-16, 16,285750.000,  4460.200,   563.370,  2825.700,   610.870,   918.550
NC02,2017-01-17, 17,340400.000,  5275.600,   666.080,  3340.900,   714.260,  1078.700
NC02,2017-01-18, 18,614960.000,  8713.100,  1120.800,  5556.200,  1187.600,  1789.800
NC02,2017-01-19, 19,667850.000,  9978.200,  1285.200,  6301.500,  1460.800,  2144.100
NC02,2017-01-20, 20,270790.000,  4146.000,   525.020,  2635.700,   552.300,   839.260
NC02,2017-01-21, 21,158190.000,  2613.300,   325.490,  1652.300,   341.150,   522.660
NC02,2017-01-22, 22,160700.000,  2710.400,   337.250,  1708.100,   364.710,   551.980
NC02,2017-01-23, 23,484890.000,  6797.100,   876.960,  4385.900,   852.260,  1328.500
NC02,2017-01-24, 24,622480.000,  9969.400,  1262.600,  6234.400,  1459.100,  2140.700
NC02,2017-01-25, 25,738890.000, 12029.000,  1543.200,  7486.100,  1880.500,  2697.100
NC02,2017-01-26, 26,517340.000,  8431.000,  1069.500,  5268.300,  1234.400,  1811.400
