#Daily/Hourly Sums represent an integration over time. Basically by summing the readings over the number of seconds in the measurement period, the units of radiant power are converted to radiant energy and are useful for studying effects related to exposure. Current available values are Caldwell biological spectral weighting function, Flint biological spectral weighting function, erythemally weighted irradiance, UV-A irradiance, and UV-B irradiance and spectral weighting function Vitamin D.
#Location: North Carolina,Raleigh
#Latitude: 35.728000 N
#Longitude: 78.680000 W
#Elevation: 120 m
#Internal ID: NC02
#Local Standard Date Time: YYYY-MM-DD
#Local Day of year: DOY
#Sums: UVA (J/(m^2 day/hour)), UVB (J/(m^2 day/hour)), Erythemal (J/(m^2 day/hour)), Flint (J/(m^2 day/hour)), Caldwell (J/(m^2 day/hour)), Vitamin D (J/(m^2 day/hour))
ID  ,Date      ,DOY,       UVA,       UVB, Erythemal,     Flint,  Caldwell, Vitamin D
NC02,2008-01-01,  1,627920.000,  7520.100,   973.970,  4858.600,   959.340,  1481.900
NC02,2008-01-02,  2,519910.000,  5371.100,   725.120,  3621.500,   587.490,   971.780
NC02,2008-01-03,  3,532180.000,  6332.500,   829.850,  4175.100,   698.270,  1149.700
NC02,2008-01-04,  4,556950.000,  6755.500,   871.140,  4382.800,   796.450,  1271.300
NC02,2008-01-05,  5,478150.000,  6356.300,   800.890,  4053.300,   804.520,  1245.400
NC02,2008-01-06,  6,640430.000,  8023.900,  1025.500,  5144.000,  1034.100,  1590.200
NC02,2008-01-07,  7,676620.000,  9038.700,  1151.200,  5717.100,  1277.700,  1896.700
NC02,2008-01-08,  8,578250.000,  8478.100,  1072.200,  5311.400,  1253.800,  1830.900
NC02,2008-01-09,  9,473510.000,  7144.500,   892.390,  4483.100,  1001.200,  1490.300
NC02,2008-01-10, 10,194720.000,  3164.600,   387.250,  1984.900,   418.030,   636.150
NC02,2008-01-11, 11,268600.000,  4034.300,   497.500,  2559.300,   496.290,   777.340
NC02,2008-01-12, 12,688660.000,  9270.900,  1179.100,  5860.300,  1289.800,  1926.200
NC02,2008-01-13, 13,143680.000,  2301.800,   280.640,  1448.900,   290.560,   450.000
NC02,2008-01-14, 14,510760.000,  7031.300,   890.060,  4503.300,   868.220,  1359.200
NC02,2008-01-15, 15,522480.000,  6180.400,   813.430,  4093.800,   680.150,  1121.900
NC02,2008-01-16, 16,557980.000,  8081.400,  1009.300,  5106.800,  1039.600,  1599.300
NC02,2008-01-17, 17, 65773.000,  1151.900,   138.700,   724.500,   137.110,   217.810
NC02,2008-01-18, 18,459460.000,  7221.500,   893.300,  4505.800,   999.370,  1494.300
NC02,2008-01-19, 19,124160.000,  2438.800,   290.360,  1489.500,   341.830,   508.160
NC02,2008-01-20, 20,739180.000, 10254.000,  1299.600,  6479.200,  1390.700,  2096.700
NC02,2008-01-21, 21,688190.000, 10322.000,  1293.900,  6473.600,  1403.000,  2112.700
NC02,2008-01-22, 22,319580.000,  5320.400,   649.160,  3313.800,   698.750,  1065.400
NC02,2008-01-23, 23,611960.000,  9336.800,  1161.200,  5849.500,  1235.800,  1880.000
NC02,2008-01-24, 24,367240.000,  5999.900,   736.390,  3746.600,   792.560,  1206.200
NC02,2008-01-25, 25,695810.000, 10096.000,  1267.300,  6357.700,  1333.300,  2030.600
NC02,2008-01-26, 26,434590.000,  7037.000,   865.010,  4401.500,   927.010,  1412.600
NC02,2008-01-27, 27,579700.000,  7438.000,   968.980,  4881.300,   813.520,  1347.300
NC02,2008-01-28, 28,606320.000,  8591.100,  1088.100,  5489.400,  1033.300,  1637.100
NC02,2008-01-29, 29,511640.000,  8507.100,  1048.800,  5286.300,  1169.800,  1753.800
NC02,2008-01-30, 30,664920.000, 10069.000,  1254.600,  6339.700,  1294.800,  1993.500
NC02,2008-01-31, 31,714540.000, 11686.000,  1455.100,  7237.700,  1711.400,  2507.200
