#Daily/Hourly Sums represent an integration over time. Basically by summing the readings over the number of seconds in the measurement period, the units of radiant power are converted to radiant energy and are useful for studying effects related to exposure. Current available values are Caldwell biological spectral weighting function, Flint biological spectral weighting function, erythemally weighted irradiance, UV-A irradiance, and UV-B irradiance and spectral weighting function Vitamin D.
#Location: North Carolina,Raleigh
#Latitude: 35.728000 N
#Longitude: 78.680000 W
#Elevation: 120 m
#Internal ID: NC02
#Local Standard Date Time: YYYY-MM-DD
#Local Day of year: DOY
#Sums: UVA (J/(m^2 day/hour)), UVB (J/(m^2 day/hour)), Erythemal (J/(m^2 day/hour)), Flint (J/(m^2 day/hour)), Caldwell (J/(m^2 day/hour)), Vitamin D (J/(m^2 day/hour))
ID  ,Date      ,DOY,       UVA,       UVB, Erythemal,     Flint,  Caldwell, Vitamin D
NC02,2019-01-01,  1,374420.000,  7802.500,   962.630,  4752.600,  1267.400,  1792.800
NC02,2019-01-02,  2,399770.000,  6985.900,   867.610,  4327.000,  1057.600,  1531.800
NC02,2019-01-03,  3,168840.000,  2823.900,   349.540,  1794.100,   376.330,   572.320
NC02,2019-01-04,  4, 81329.000,  1564.000,   187.050,   967.990,   209.630,   317.140
NC02,2019-01-05,  5,555160.000,  8697.500,  1091.000,  5486.900,  1139.100,  1742.300
NC02,2019-01-06,  6,609210.000,  9404.600,  1187.000,  5884.800,  1384.300,  2025.400
NC02,2019-01-07,  7,489660.000,  8114.700,  1040.900,  5054.000,  1345.300,  1894.000
NC02,2019-01-08,  8,590730.000,  9269.100,  1165.300,  5782.400,  1370.800,  2002.400
NC02,2019-01-09,  9,621790.000,  9124.800,  1153.200,  5792.500,  1199.200,  1831.200
NC02,2019-01-10, 10,537190.000,  8899.000,  1113.800,  5541.400,  1264.800,  1873.700
NC02,2019-01-11, 11,516630.000,  8229.700,  1039.600,  5174.500,  1083.700,  1654.100
NC02,2019-01-12, 12,179100.000,  3471.600,   417.620,  2132.900,   466.970,   705.380
NC02,2019-01-13, 13,161390.000,  3141.100,   376.380,  1930.900,   426.040,   641.670
NC02,2019-01-14, 14,349500.000,  5931.600,   727.780,  3702.000,   779.860,  1189.500
NC02,2019-01-15, 15,396850.000,  6131.600,   763.870,  3900.300,   748.640,  1178.000
NC02,2019-01-16, 16,570150.000,  8918.900,  1110.300,  5614.700,  1159.400,  1777.400
NC02,2019-01-17, 17,482700.000,  8271.400,  1019.000,  5135.000,  1159.200,  1725.400
NC02,2019-01-18, 18,612750.000, 10253.000,  1268.500,  6363.700,  1423.800,  2126.700
NC02,2019-01-19, 19,167630.000,  3093.500,   372.980,  1914.700,   411.040,   623.920
NC02,2019-01-20, 20,417000.000,  5900.600,   751.810,  3815.400,   712.910,  1128.800
NC02,2019-01-21, 21,613550.000,  8332.000,  1073.300,  5386.400,  1067.700,  1649.400
NC02,2019-01-22, 22,653220.000, 10315.000,  1301.200,  6450.100,  1514.100,  2218.500
NC02,2019-01-23, 23,457440.000,  8055.700,   993.100,  4983.800,  1170.700,  1719.900
NC02,2019-01-24, 24,413160.000,  7364.600,   903.680,  4570.200,   970.650,  1479.800
NC02,2019-01-25, 25,653400.000, 10374.000,  1290.900,  6494.500,  1396.000,  2111.300
