#Daily/Hourly Sums represent an integration over time. Basically by summing the readings over the number of seconds in the measurement period, the units of radiant power are converted to radiant energy and are useful for studying effects related to exposure. Current available values are Caldwell biological spectral weighting function, Flint biological spectral weighting function, erythemally weighted irradiance, UV-A irradiance, and UV-B irradiance and spectral weighting function Vitamin D.
#Location: North Carolina,Raleigh
#Latitude: 35.728000 N
#Longitude: 78.680000 W
#Elevation: 120 m
#Internal ID: NC02
#Local Standard Date Time: YYYY-MM-DD
#Local Day of year: DOY
#Sums: UVA (J/(m^2 day/hour)), UVB (J/(m^2 day/hour)), Erythemal (J/(m^2 day/hour)), Flint (J/(m^2 day/hour)), Caldwell (J/(m^2 day/hour)), Vitamin D (J/(m^2 day/hour))
ID  ,Date      ,DOY,       UVA,       UVB, Erythemal,     Flint,  Caldwell, Vitamin D
NC02,2013-01-01,  1, 99661.000,  1249.600,   163.200,   816.950,   167.180,   253.870
NC02,2013-01-02,  2,303000.000,  3564.600,   469.440,  2294.300,   499.100,   744.790
NC02,2013-01-03,  3,366040.000,  4858.800,   625.780,  3126.700,   669.880,  1004.900
NC02,2013-01-04,  4,722560.000,  8436.000,  1116.400,  5459.900,  1183.600,  1765.200
NC02,2013-01-05,  5,630780.000,  7765.300,  1018.800,  5009.100,  1096.900,  1631.500
NC02,2013-01-06,  6,294300.000,  3853.400,   498.270,  2483.100,   539.720,   804.860
NC02,2013-01-07,  7,735090.000,  8434.900,  1118.900,  5461.200,  1185.600,  1767.100
NC02,2013-01-08,  8,463640.000,  5478.800,   720.610,  3564.800,   743.350,  1122.600
NC02,2013-01-09,  9,669080.000,  8307.100,  1087.200,  5342.500,  1188.800,  1759.900
NC02,2013-01-10, 10,632830.000,  8069.700,  1051.800,  5154.000,  1187.400,  1740.200
NC02,2013-01-11, 11,218320.000,  2959.100,   380.800,  1907.000,   403.960,   608.290
NC02,2013-01-12, 12,582490.000,  7468.700,   977.270,  4750.200,  1130.100,  1640.100
NC02,2013-01-13, 13,760080.000,  8745.900,  1155.400,  5570.400,  1308.900,  1907.200
NC02,2013-01-14, 14,300030.000,  4469.900,   569.740,  2816.600,   678.300,   982.860
NC02,2013-01-15, 15,154640.000,  2606.600,   329.000,  1628.400,   402.140,   579.260
NC02,2013-01-16, 16,283410.000,  2812.600,   376.240,  1781.100,   433.540,   625.160
NC02,2013-01-17, 17,104690.000,  1793.100,   224.720,  1121.000,   271.840,   393.740
NC02,2013-01-18, 18,819240.000,  8548.600,  1143.000,  5559.500,  1125.600,  1720.300
NC02,2013-01-19, 19,915460.000,  9031.300,  1215.000,  5839.400,  1227.700,  1853.100
NC02,2013-01-20, 20,826360.000,  8329.100,  1125.000,  5468.700,  1076.600,  1658.500
NC02,2013-01-21, 21,922110.000,  8741.300,  1183.000,  5691.500,  1153.000,  1761.400
NC02,2013-01-22, 22,833880.000,  8627.700,  1161.000,  5651.200,  1111.700,  1714.700
NC02,2013-01-23, 23,786270.000,  8455.300,  1130.100,  5514.300,  1100.400,  1690.300
NC02,2013-01-24, 24,638370.000,  8264.300,  1074.700,  5284.900,  1153.400,  1723.200
NC02,2013-01-25, 25,134870.000,  1722.500,   224.280,  1112.500,   234.420,   353.580
NC02,2013-01-26, 26,611840.000,  7697.200,  1007.200,  4890.900,  1111.500,  1639.900
NC02,2013-01-27, 27,695160.000, 10774.000,  1395.000,  6719.100,  1733.700,  2463.400
NC02,2013-01-28, 28,416540.000,  6570.700,   840.280,  4124.100,  1007.400,  1454.600
NC02,2013-01-29, 29,785700.000, 11324.000,  1480.400,  7133.500,  1788.300,  2557.900
NC02,2013-01-30, 30,295750.000,  4421.100,   570.050,  2796.000,   682.120,   983.080
NC02,2013-01-31, 31,896320.000, 12075.000,  1577.700,  7665.600,  1807.000,  2632.900
NC02,2013-02-01, 32,861910.000,  9711.300,  1293.600,  6323.600,  1266.500,  1944.800
NC02,2013-02-02, 33,801270.000,  8427.800,  1139.900,  5592.500,  1032.600,  1627.800
NC02,2013-02-03, 34,669100.000,  6397.100,   887.880,  4350.400,   728.650,  1187.700
NC02,2013-02-04, 35,706460.000,  9012.700,  1175.300,  5784.500,  1237.800,  1861.400
NC02,2013-02-05, 36,732320.000,  8961.800,  1180.600,  5763.900,  1253.800,  1872.700
NC02,2013-02-06, 37,910830.000, 12383.000,  1626.500,  7861.200,  1878.900,  2724.900
NC02,2013-02-07, 38,378320.000,  6286.100,   800.460,  3927.400,   964.370,  1391.800
NC02,2013-02-08, 39,662730.000, 10584.000,  1355.200,  6629.400,  1613.600,  2334.400
NC02,2013-02-09, 40,917670.000, 12780.000,  1661.600,  8082.500,  1895.300,  2769.900
NC02,2013-02-10, 41,771060.000, 11793.000,  1521.400,  7389.700,  1813.300,  2615.700
NC02,2013-02-11, 42,151900.000,  2421.800,   308.260,  1532.100,   351.660,   517.670
NC02,2013-02-12, 43,822920.000, 14189.000,  1831.800,  8803.300,  2340.600,  3297.000
NC02,2013-02-13, 44, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2013-02-14, 45,736180.000, 11916.000,  1536.000,  7442.200,  1874.500,  2682.600
NC02,2013-02-15, 46,924230.000, 12157.000,  1591.400,  7795.400,  1675.600,  2517.600
NC02,2013-02-16, 47, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2013-02-17, 48,918090.000,  9919.300,  1354.600,  6615.200,  1176.400,  1883.900
NC02,2013-02-18, 49,948460.000, 12812.000,  1665.700,  8181.100,  1755.300,  2642.700
NC02,2013-02-19, 50,271560.000,  4545.400,   572.800,  2852.200,   650.500,   962.530
NC02,2013-02-20, 51,970770.000, 15422.000,  1990.200,  9663.300,  2359.500,  3409.300
NC02,2013-02-21, 52,996950.000, 16605.000,  2143.800, 10324.000,  2655.600,  3778.600
NC02,2013-02-22, 53, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2013-02-23, 54,196830.000,  3481.800,   440.880,  2167.100,   520.790,   758.270
NC02,2013-02-24, 55,1042700.000, 15719.000,  2034.800,  9900.400,  2354.100,  3427.900
NC02,2013-02-25, 56,528760.000,  9684.500,  1225.300,  6006.300,  1493.800,  2151.000
NC02,2013-02-26, 57, 59518.000,   986.440,   123.530,   625.890,   130.270,   198.830
NC02,2013-02-27, 58,1176300.000, 16885.000,  2193.500, 10590.000,  2553.800,  3705.100
NC02,2013-02-28, 59,453000.000,  6683.700,   861.190,  4272.500,   920.370,  1383.000
NC02,2013-03-01, 60,716590.000, 10350.000,  1337.500,  6629.500,  1392.200,  2111.800
NC02,2013-03-02, 61,821520.000, 11741.000,  1518.800,  7540.100,  1544.400,  2364.300
NC02,2013-03-03, 62,1012400.000, 12868.000,  1701.000,  8385.600,  1610.300,  2518.000
NC02,2013-03-04, 63,1080700.000, 15982.000,  2066.300, 10099.000,  2264.400,  3366.000
NC02,2013-03-05, 64,311370.000,  4331.500,   563.190,  2778.000,   587.960,   888.440
NC02,2013-03-06, 65,473650.000,  6523.800,   850.910,  4268.500,   783.990,  1247.300
NC02,2013-03-07, 66,1054600.000, 16193.000,  2086.800, 10177.000,  2378.900,  3488.000
NC02,2013-03-08, 67,1163600.000, 18247.000,  2348.500, 11425.000,  2721.200,  3967.800
NC02,2013-03-09, 68,1333200.000, 21131.000,  2759.200, 13096.000,  3460.300,  4883.400
NC02,2013-03-10, 69,1224000.000, 22169.000,  2901.800, 13685.000,  3798.600,  5281.400
NC02,2013-03-11, 70,828280.000, 16158.000,  2082.000,  9930.000,  2740.900,  3821.700
NC02,2013-03-12, 71,728670.000, 12888.000,  1641.000,  8012.400,  1990.000,  2864.600
NC02,2013-03-13, 72,1017200.000, 15068.000,  1941.800,  9572.000,  2092.100,  3134.300
NC02,2013-03-14, 73,1181600.000, 16149.000,  2099.000, 10368.000,  2113.900,  3243.200
NC02,2013-03-15, 74,1047400.000, 16406.000,  2092.700, 10319.000,  2308.800,  3439.700
NC02,2013-03-16, 75,778540.000, 14659.000,  1871.600,  9033.400,  2362.300,  3349.800
NC02,2013-03-17, 76,630890.000, 13369.000,  1709.700,  8169.700,  2288.000,  3180.000
NC02,2013-03-18, 77,218370.000,  4787.200,   601.730,  2919.800,   785.910,  1107.100
NC02,2013-03-19, 78,1147400.000, 22063.000,  2820.900, 13559.000,  3609.300,  5091.700
NC02,2013-03-20, 79,956440.000, 15188.000,  1931.300,  9550.800,  2128.800,  3176.200
NC02,2013-03-21, 80,1109600.000, 15295.000,  1980.600,  9825.900,  1936.600,  3012.500
NC02,2013-03-22, 81,1244000.000, 20427.000,  2602.800, 12717.000,  3008.400,  4405.300
NC02,2013-03-23, 82,624260.000, 10571.000,  1351.000,  6579.300,  1623.700,  2341.300
NC02,2013-03-24, 83, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
