#Daily/Hourly Sums represent an integration over time. Basically by summing the readings over the number of seconds in the measurement period, the units of radiant power are converted to radiant energy and are useful for studying effects related to exposure. Current available values are Caldwell biological spectral weighting function, Flint biological spectral weighting function, erythemally weighted irradiance, UV-A irradiance, and UV-B irradiance and spectral weighting function Vitamin D.
#Location: North Carolina,Raleigh
#Latitude: 35.728000 N
#Longitude: 78.680000 W
#Elevation: 120 m
#Internal ID: NC02
#Local Standard Date Time: YYYY-MM-DD
#Local Day of year: DOY
#Sums: UVA (J/(m^2 day/hour)), UVB (J/(m^2 day/hour)), Erythemal (J/(m^2 day/hour)), Flint (J/(m^2 day/hour)), Caldwell (J/(m^2 day/hour)), Vitamin D (J/(m^2 day/hour))
ID  ,Date      ,DOY,       UVA,       UVB, Erythemal,     Flint,  Caldwell, Vitamin D
NC02,2014-01-01,  1,564540.000,  6124.300,   825.070,  4037.100,   804.440,  1231.100
NC02,2014-01-02,  2,193970.000,  1927.400,   261.790,  1296.100,   236.760,   372.490
NC02,2014-01-03,  3,639910.000,  5994.500,   840.760,  4073.600,   737.750,  1161.600
NC02,2014-01-04,  4,390800.000,  3583.900,   504.880,  2462.800,   429.600,   684.090
NC02,2014-01-05,  5,313920.000,  3412.500,   459.880,  2286.200,   424.790,   664.710
NC02,2014-01-06,  6,379760.000,  4123.200,   557.300,  2736.000,   539.370,   827.440
NC02,2014-01-07,  7,655220.000,  6271.500,   879.380,  4240.900,   778.420,  1221.100
NC02,2014-01-08,  8,687640.000,  6804.600,   939.800,  4552.000,   880.260,  1356.900
NC02,2014-01-09,  9,680440.000,  6494.600,   900.500,  4358.000,   835.290,  1290.800
NC02,2014-01-10, 10, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2014-01-11, 11, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2014-01-12, 12, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2014-01-13, 13,738410.000,  7112.000,   978.280,  4723.900,   930.620,  1427.800
NC02,2014-01-14, 14,253830.000,  2217.100,   313.320,  1506.100,   277.820,   434.080
NC02,2014-01-15, 15,703260.000,  7251.500,   989.370,  4786.000,   979.310,  1483.900
NC02,2014-01-16, 16,546460.000,  4714.100,   671.620,  3246.100,   556.450,   892.820
NC02,2014-01-17, 17,636950.000,  5610.700,   800.140,  3887.700,   641.120,  1043.800
NC02,2014-01-18, 18,732890.000,  5618.500,   838.740,  3992.700,   614.460,  1022.500
NC02,2014-01-19, 19,730180.000,  5165.100,   790.060,  3743.900,   541.630,   921.150
NC02,2014-01-20, 20,783990.000,  7351.500,  1026.500,  4975.000,   919.150,  1438.300
NC02,2014-01-21, 21,557660.000,  5130.900,   721.060,  3511.600,   599.000,   965.900
NC02,2014-01-22, 22,753110.000,  5796.000,   860.420,  4091.300,   634.290,  1055.300
NC02,2014-01-23, 23,826700.000,  8064.800,  1111.000,  5325.100,  1076.600,  1639.300
NC02,2014-01-24, 24,760140.000,  5309.400,   830.360,  3888.600,   538.330,   932.580
NC02,2014-01-25, 25,347050.000,  3422.500,   477.560,  2346.300,   391.320,   636.880
NC02,2014-01-26, 26,792160.000,  7059.800,   987.590,  4758.100,   871.670,  1371.000
NC02,2014-01-27, 27,737270.000,  8448.600,  1130.700,  5527.100,  1155.400,  1742.000
