#Daily/Hourly Sums represent an integration over time. Basically by summing the readings over the number of seconds in the measurement period, the units of radiant power are converted to radiant energy and are useful for studying effects related to exposure. Current available values are Caldwell biological spectral weighting function, Flint biological spectral weighting function, erythemally weighted irradiance, UV-A irradiance, and UV-B irradiance and spectral weighting function Vitamin D.
#Location: North Carolina,Raleigh
#Latitude: 35.728000 N
#Longitude: 78.680000 W
#Elevation: 120 m
#Internal ID: NC02
#Local Standard Date Time: YYYY-MM-DD
#Local Day of year: DOY
#Sums: UVA (J/(m^2 day/hour)), UVB (J/(m^2 day/hour)), Erythemal (J/(m^2 day/hour)), Flint (J/(m^2 day/hour)), Caldwell (J/(m^2 day/hour)), Vitamin D (J/(m^2 day/hour))
ID  ,Date      ,DOY,       UVA,       UVB, Erythemal,     Flint,  Caldwell, Vitamin D
NC02,2005-01-01,  1,492270.000,  6236.300,   862.810,  4163.900,   778.040,  1220.600
NC02,2005-01-02,  2,442060.000,  5882.500,   750.290,  3788.200,   721.080,  1132.600
NC02,2005-01-03,  3,485400.000,  6934.900,   876.270,  4404.100,   923.240,  1402.600
NC02,2005-01-04,  4,520410.000,  7438.100,   942.120,  4718.100,  1012.600,  1525.400
NC02,2005-01-05,  5,447930.000,  6715.500,   842.710,  4232.900,   935.200,  1396.200
NC02,2005-01-06,  6,381250.000,  5892.100,   733.280,  3712.200,   798.060,  1203.500
NC02,2005-01-07,  7,400620.000,  6115.600,   764.380,  3843.700,   865.420,  1283.900
NC02,2005-01-08,  8,280380.000,  4467.200,   550.080,  2784.800,   619.000,   925.080
NC02,2005-01-09,  9,343370.000,  5388.700,   666.910,  3378.100,   751.120,  1120.800
NC02,2005-01-10, 10, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2005-01-11, 11,444610.000,  6042.300,   774.980,  3893.100,   796.530,  1215.800
NC02,2005-01-12, 12,502200.000,  6952.900,   884.480,  4431.800,   932.610,  1413.100
NC02,2005-01-13, 13,391360.000,  6570.200,   811.670,  4076.700,   950.210,  1398.900
NC02,2005-01-14, 14, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2005-01-15, 15, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2005-01-16, 16, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2005-01-17, 17, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2005-01-18, 18, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000, -9998.000
NC02,2005-01-19, 19,103570.000,  1769.700,   209.300,  1115.300,   183.510,   309.960
NC02,2005-01-20, 20,327110.000,  4555.900,   576.290,  2963.400,   497.150,   823.120
NC02,2005-01-21, 21, 77048.000,  1396.700,   160.180,   862.790,   147.870,   245.350
NC02,2005-01-22, 22, 36354.000,   564.620,    65.489,   360.560,    48.973,    89.649
NC02,2005-01-23, 23,575090.000,  7199.900,   943.910,  4730.800,   818.610,  1331.700
NC02,2005-01-24, 24,591590.000,  7807.200,  1008.300,  5060.600,   919.560,  1471.900
NC02,2005-01-25, 25,618540.000,  9662.100,  1211.600,  6032.200,  1349.100,  2012.200
NC02,2005-01-26, 26,421320.000,  6996.600,   861.070,  4353.700,   944.390,  1426.600
NC02,2005-01-27, 27,568020.000,  8306.800,  1046.200,  5271.600,  1053.300,  1632.300
NC02,2005-01-28, 28,590120.000,  9096.500,  1136.000,  5703.300,  1233.500,  1860.200
NC02,2005-01-29, 29,307110.000,  5458.800,   659.710,  3379.900,   730.990,  1107.000
NC02,2005-01-30, 30,283820.000,  4114.900,   516.250,  2690.200,   430.770,   729.500
NC02,2005-01-31, 31,650620.000,  9803.600,  1229.000,  6171.400,  1292.000,  1970.900
NC02,2005-02-01, 32,675010.000, 10769.000,  1347.200,  6704.900,  1541.100,  2278.000
NC02,2005-02-02, 33,595880.000,  9913.300,  1230.100,  6149.700,  1417.300,  2095.200
NC02,2005-02-03, 34,161220.000,  2816.700,   336.460,  1762.700,   332.910,   531.130
NC02,2005-02-04, 35,508580.000,  7846.200,   979.150,  4944.500,  1028.700,  1572.500
NC02,2005-02-05, 36,724760.000, 12043.000,  1508.200,  7462.800,  1777.000,  2598.000
NC02,2005-02-06, 37,812690.000, 14773.000,  1883.600,  9084.200,  2429.900,  3426.200
NC02,2005-02-07, 38,818870.000, 15216.000,  1935.200,  9328.500,  2532.000,  3556.100
NC02,2005-02-08, 39,783470.000, 13283.000,  1665.500,  8241.100,  1959.300,  2868.000
NC02,2005-02-09, 40,191090.000,  3891.100,   463.010,  2364.100,   551.200,   816.610
NC02,2005-02-10, 41,540700.000,  9113.800,  1125.500,  5696.500,  1225.500,  1855.200
NC02,2005-02-11, 42,698230.000, 10076.000,  1278.400,  6449.400,  1238.200,  1946.300
NC02,2005-02-12, 43,714060.000, 11157.000,  1396.300,  7013.500,  1455.000,  2230.000
NC02,2005-02-13, 44,606470.000, 11136.000,  1377.300,  6844.900,  1666.600,  2424.300
NC02,2005-02-14, 45,211040.000,  4340.700,   514.250,  2635.500,   605.140,   901.700
NC02,2005-02-15, 46,654790.000, 12021.000,  1478.300,  7380.400,  1755.600,  2574.900
NC02,2005-02-16, 47,577100.000, 11053.000,  1356.100,  6775.200,  1636.800,  2389.600
NC02,2005-02-17, 48,713610.000, 13022.000,  1612.500,  8009.900,  1937.000,  2823.800
NC02,2005-02-18, 49,825990.000, 14423.000,  1787.400,  8918.700,  2053.700,  3042.800
NC02,2005-02-19, 50,827160.000, 15256.000,  1886.200,  9349.800,  2286.500,  3324.100
NC02,2005-02-20, 51,296020.000,  6016.200,   719.820,  3661.100,   862.440,  1272.700
NC02,2005-02-21, 52,229160.000,  4619.800,   547.240,  2815.600,   629.680,   946.360
NC02,2005-02-22, 53,715050.000, 12963.000,  1601.800,  8010.800,  1865.700,  2754.600
NC02,2005-02-23, 54,858640.000, 15612.000,  1945.300,  9607.200,  2345.600,  3408.600
NC02,2005-02-24, 55,122610.000,  2755.700,   323.110,  1658.500,   394.160,   581.720
NC02,2005-02-25, 56,644210.000, 12217.000,  1509.700,  7514.200,  1830.900,  2661.700
NC02,2005-02-26, 57,898360.000, 16202.000,  2021.800,  9981.900,  2424.900,  3528.100
NC02,2005-02-27, 58,505410.000, 10926.000,  1351.300,  6616.200,  1792.100,  2525.000
NC02,2005-02-28, 59,219380.000,  4931.900,   593.110,  2974.600,   759.670,  1092.500
NC02,2005-03-01, 60,599070.000,  9683.200,  1203.300,  6111.200,  1232.200,  1908.800
NC02,2005-03-02, 61,946930.000, 14986.000,  1886.300,  9449.900,  1993.600,  3036.400
NC02,2005-03-03, 62,960140.000, 15888.000,  1991.500,  9930.800,  2206.400,  3303.200
NC02,2005-03-04, 63,961570.000, 14915.000,  1878.600,  9396.700,  1978.800,  3014.200
NC02,2005-03-05, 64,540290.000,  8310.000,  1043.200,  5284.200,  1033.400,  1620.300
NC02,2005-03-06, 65,1009600.000, 16763.000,  2105.800, 10473.000,  2362.800,  3517.500
NC02,2005-03-07, 66,1021900.000, 19658.000,  2480.400, 12052.000,  3135.800,  4463.200
NC02,2005-03-08, 67,559890.000,  9636.500,  1194.900,  6015.200,  1306.600,  1973.400
NC02,2005-03-09, 68,992450.000, 17619.000,  2202.000, 10908.000,  2555.300,  3762.300
NC02,2005-03-10, 69,1025300.000, 17111.000,  2143.800, 10650.000,  2390.200,  3571.700
NC02,2005-03-11, 70,692170.000, 12688.000,  1563.700,  7833.000,  1778.800,  2650.600
NC02,2005-03-12, 71,969020.000, 18568.000,  2311.200, 11384.000,  2799.300,  4062.300
NC02,2005-03-13, 72,1008300.000, 19948.000,  2488.600, 12154.000,  3112.500,  4461.400
NC02,2005-03-14, 73,360740.000,  8234.900,  1005.700,  4969.800,  1318.400,  1871.300
NC02,2005-03-15, 74,1091100.000, 23667.000,  3004.300, 14330.000,  4085.500,  5662.100
NC02,2005-03-16, 75,132440.000,  2886.600,   339.010,  1744.200,   403.520,   600.820
NC02,2005-03-17, 76,221670.000,  5171.600,   627.300,  3107.700,   836.000,  1182.300
NC02,2005-03-18, 77,1089200.000, 20849.000,  2612.600, 12789.000,  3245.400,  4656.600
