Date,Code,SampleID,type,std,i161,i196,Ratio,calBatch
2025-02-20T00:00:00Z,3062,blk,blk,va4.7,NA,NA,NA,a
2025-02-20T00:00:00Z,3063,cal4.1,cal,va4.7,1072999,4438082,NA,a
2025-02-20T00:00:00Z,3064,cal4.2,cal,va4.7,3542616,4692536,NA,a
2025-02-20T00:00:00Z,3065,cal4.3,cal,va4.7,9887180,4833161,NA,a
2025-02-20T00:00:00Z,3066,cal4.4,cal,va4.7,11650891,4569961,NA,a
2025-02-20T00:00:00Z,3067,J479,polcal,va4.7,1675645,4957643,NA,a
2025-02-20T00:00:00Z,3068,J480,polcal,va4.7,5305702,4975685,NA,a
2025-02-20T00:00:00Z,3069,J481,polcal,va4.7,9572090,5042808,NA,a
2025-02-20T00:00:00Z,3070,J482,polcal,va4.7,13348344,5189529,NA,a
2025-02-20T00:00:00Z,3071,J454,sample,va4.7,3293867,4912343,NA,a
2025-02-20T00:00:00Z,3072,J457,sample,va4.7,3001256,4962485,NA,a
2025-02-20T00:00:00Z,3073,J460,sample,va4.7,3405213,4988987,NA,a
2025-02-20T00:00:00Z,3074,J511,sample,va4.7,4008372,4828000,NA,a
2025-02-20T00:00:00Z,3075,J514,sample,va4.7,4382118,4991703,NA,a
2025-02-20T00:00:00Z,3076,J517,sample,va4.7,3627420,4988736,NA,a
2025-02-20T00:00:00Z,3077,J520,sample,va4.7,3501263,4924093,NA,a
2025-02-20T00:00:00Z,3078,J523,sample,va4.7,3501634,4975556,NA,a
2025-02-20T00:00:00Z,3079,J536,sample,va4.7,3140261,5075378,NA,a
2025-02-20T00:00:00Z,3080,J529,sample,va4.7,3167150,4979959,NA,a
2025-02-20T00:00:00Z,3081,J532,sample,va4.7,3924707,4872592,NA,a
2025-02-20T00:00:00Z,3082,J535,sample,va4.7,3337604,5067238,NA,a
2025-02-20T00:00:00Z,3083,J538,sample,va4.7,3240893,5044983,NA,a
2025-02-20T00:00:00Z,3084,J541,sample,va4.7,2576656,5190146,NA,a
2025-02-20T00:00:00Z,3085,J608,sample,va4.7,2488297,4958562,NA,a
2025-02-20T00:00:00Z,3086,J611,sample,va4.7,3910543,5327368,NA,a
2025-02-20T00:00:00Z,3087,blk,blk,va4.7,NA,NA,NA,a
2025-02-21T00:00:00Z,3088,blk,blk,va4.7,NA,NA,NA,a
2025-02-21T00:00:00Z,3089,cal4.1,cal,va4.7,1275265,4656805,NA,a
2025-02-21T00:00:00Z,3090,cal4.2,cal,va4.7,3112315,4207330,NA,a
2025-02-21T00:00:00Z,3091,cal4.3,cal,va4.7,7916783,4384759,NA,a
2025-02-21T00:00:00Z,3092,cal4.4,cal,va4.7,11887063,4863557,NA,a
2025-02-21T00:00:00Z,3093,J471,polcal,va4.7,1134551,5496136,NA,a
2025-02-21T00:00:00Z,3094,J472,polcal,va4.7,4358107,5599927,NA,a
2025-02-21T00:00:00Z,3095,J473,polcal,va4.7,8931182,5780006,NA,a
2025-02-21T00:00:00Z,3096,J474,polcal,va4.7,11975174,5582187,NA,a
2025-02-21T00:00:00Z,3097,J614,sample,va4.7,2948734,5986328,NA,a
2025-02-21T00:00:00Z,3098,J617,sample,va4.7,2349867,5215016,NA,a
2025-02-21T00:00:00Z,3099,J620,sample,va4.7,2962568,8762346,NA,a
2025-02-21T00:00:00Z,3100,J623,sample,va4.7,3044531,5190860,NA,a
2025-02-21T00:00:00Z,3101,J626,sample,va4.7,2774970,4937721,NA,a
2025-02-21T00:00:00Z,3102,J335,sample,va4.7,3351089,5486788,NA,a
2025-02-21T00:00:00Z,3103,J338,sample,va4.7,3406187,5265118,NA,a
2025-02-21T00:00:00Z,3104,J341,sample,va4.7,2921070,5223345,NA,a
2025-02-21T00:00:00Z,3105,J344,sample,va4.7,2111858,5093170,NA,a
2025-02-21T00:00:00Z,3106,J347,sample,va4.7,3157850,4949314,NA,a
2025-02-21T00:00:00Z,3107,J350,sample,va4.7,3230625,4998212,NA,a
2025-02-21T00:00:00Z,3108,J353,sample,va4.7,3422912,5246348,NA,a
2025-02-21T00:00:00Z,3109,J356,sample,va4.7,3252797,5399772,NA,a
2025-02-21T00:00:00Z,3110,J360,sample,va4.7,3265895,5444517,NA,a
2025-02-21T00:00:00Z,3111,J362,sample,va4.7,4108467,5123225,NA,a
2025-02-21T00:00:00Z,3112,J365,sample,va4.7,1601568,5151990,NA,a
2025-02-21T00:00:00Z,3113,blk,blk,va4.7,NA,NA,NA,a
2025-02-24T00:00:00Z,3114,blk,blk,va4.7,NA,NA,NA,b
2025-02-24T00:00:00Z,3115,cal4.1,cal,va4.7,1123032,4257230,NA,b
2025-02-24T00:00:00Z,3116,cal4.2,cal,va4.7,3050673,4454452,NA,b
2025-02-24T00:00:00Z,3117,cal4.3,cal,va4.7,8050763,4776238,NA,b
2025-02-24T00:00:00Z,3118,cal4.4,cal,va4.7,13021317,4933090,NA,b
2025-02-24T00:00:00Z,3119,J475,polcal,va4.7,1224602,4984255,NA,b
2025-02-24T00:00:00Z,3120,J476,polcal,va4.7,4589242,4969753,NA,b
2025-02-24T00:00:00Z,3121,J477,polcal,va4.7,8425802,5020909,NA,b
2025-02-24T00:00:00Z,3122,J478,polcal,va4.7,12569876,5160133,NA,b
2025-02-24T00:00:00Z,3123,J368,sample,va4.7,3039785,5015194,NA,b
2025-02-24T00:00:00Z,3124,J371,sample,va4.7,3377854,5230408,NA,b
2025-02-24T00:00:00Z,3125,J374,sample,va4.7,3290190,5345825,NA,b
2025-02-24T00:00:00Z,3126,J377,sample,va4.7,4238151,5323018,NA,b
2025-02-24T00:00:00Z,3127,J380,sample,va4.7,3265840,5785547,NA,b
2025-02-24T00:00:00Z,3128,J383,sample,va4.7,3142169,5428081,NA,b
2025-02-24T00:00:00Z,3129,J386,sample,va4.7,3190468,5542282,NA,b
2025-02-24T00:00:00Z,3130,J389,sample,va4.7,2638114,5517104,NA,b
2025-02-24T00:00:00Z,3131,J392,sample,va4.7,3515272,5134797,NA,b
2025-02-24T00:00:00Z,3132,J395,sample,va4.7,3077427,5164889,NA,b
2025-02-24T00:00:00Z,3133,J398,sample,va4.7,2783752,5570284,NA,b
2025-02-24T00:00:00Z,3134,J401,sample,va4.7,2198771,5302890,NA,b
2025-02-24T00:00:00Z,3135,J404,sample,va4.7,3099719,5478625,NA,b
2025-02-24T00:00:00Z,3136,J407,sample,va4.7,2987650,5663060,NA,b
2025-02-24T00:00:00Z,3137,J410,sample,va4.7,2937663,5617685,NA,b
2025-02-24T00:00:00Z,3138,J413,sample,va4.7,2988490,5555870,NA,b
2025-02-24T00:00:00Z,3139,blk,blk,va4.7,NA,NA,NA,b
2025-02-26T00:00:00Z,3140,blk,blk,va4.7,NA,NA,NA,b
2025-02-26T00:00:00Z,3141,cal4.1,cal,va4.7,1241508,4146628,NA,b
2025-02-26T00:00:00Z,3142,cal4.2,cal,va4.7,3878399,4254708,NA,b
2025-02-26T00:00:00Z,3143,cal4.3,cal,va4.7,9364892,4593608,NA,b
2025-02-26T00:00:00Z,3144,cal4.4,cal,va4.7,11842555,4503470,NA,b
2025-02-26T00:00:00Z,3145,J483,polcal,va4.7,942319,4756415,NA,b
2025-02-26T00:00:00Z,3146,J484,polcal,va4.7,3757625,4835086,NA,b
2025-02-26T00:00:00Z,3147,J485,polcal,va4.7,7063472,5163803,NA,b
2025-02-26T00:00:00Z,3148,J486,polcal,va4.7,9625163,5412042,NA,b
2025-02-26T00:00:00Z,3149,J416,sample,va4.7,2627586,5340406,NA,b
2025-02-26T00:00:00Z,3150,J419,sample,va4.7,2998553,5240675,NA,b
2025-02-26T00:00:00Z,3151,J422,sample,va4.7,2675762,4755830,NA,b
2025-02-26T00:00:00Z,3152,J425,sample,va4.7,2757646,5267657,NA,b
2025-02-26T00:00:00Z,3153,J428,sample,va4.7,2668196,5249464,NA,b
2025-02-26T00:00:00Z,3154,J431,sample,va4.7,2415678,5509697,NA,b
2025-02-26T00:00:00Z,3155,J434,sample,va4.7,2805398,5558496,NA,b
2025-02-26T00:00:00Z,3156,J437,sample,va4.7,2797823,5283337,NA,b
2025-02-26T00:00:00Z,3157,J440,sample,va4.7,3210984,5145008,NA,b
2025-02-26T00:00:00Z,3158,J443,sample,va4.7,3179421,5392992,NA,b
2025-02-26T00:00:00Z,3159,J446,sample,va4.7,2542143,5292878,NA,b
2025-02-26T00:00:00Z,3160,J449,sample,va4.7,2079888,5177351,NA,b
2025-02-26T00:00:00Z,3161,J452,sample,va4.7,2738457,5385539,NA,b
2025-02-26T00:00:00Z,3162,J455,sample,va4.7,2814486,5317491,NA,b
2025-02-26T00:00:00Z,3163,J458,sample,va4.7,2203197,4886721,NA,b
2025-02-26T00:00:00Z,3164,J461,sample,va4.7,2702938,5073769,NA,b
2025-02-26T00:00:00Z,3165,blk,blk,va4.7,NA,NA,NA,b
2025-02-27T00:00:00Z,3166,blk,blk,va4.7,NA,NA,NA,b
2025-02-27T00:00:00Z,3167,cal4.1,cal,va4.7,1323017,4245347,NA,b
2025-02-27T00:00:00Z,3168,cal4.2,cal,va4.7,2594408,4492785,NA,b
2025-02-27T00:00:00Z,3169,cal4.3,cal,va4.7,8171783,4493995,NA,b
2025-02-27T00:00:00Z,3170,cal4.4,cal,va4.7,13210781,4560634,NA,b
2025-02-27T00:00:00Z,3171,J487,polcal,va4.7,897688,4493463,NA,b
2025-02-27T00:00:00Z,3172,J488,polcal,va4.7,3722216,4693159,NA,b
