Site,SampleID,CoreCode,nGrains
2024_Greenhouse,J440,D_UV_034_(1st sampling),150
2024_Greenhouse,J441,D_UV_034_(1st sampling),150
2024_Greenhouse,J442,D_UV_034_(2nd sampling),150
2024_Greenhouse,J443,D_UV_034_(2nd sampling),150
2024_Greenhouse,J444,D_UV_034_(2nd sampling),150
2024_Greenhouse,J445,D_UV_035_(1st sampling),150
2024_Greenhouse,J446,D_UV_035_(1st sampling),150
2024_Greenhouse,J447,D_UV_035_(1st sampling),150
2024_Greenhouse,J448,D_UV_035_(2nd sampling),150
2024_Greenhouse,J449,D_UV_035_(2nd sampling),150
2024_Greenhouse,J450,D_UV_035_(2nd sampling),150
2024_Greenhouse,J451,D_CON_036_(1st sampling),150
2024_Greenhouse,J452,D_CON_036_(1st sampling),150
2024_Greenhouse,J453,D_CON_036_(1st sampling),150
2024_Greenhouse,J454,D_CON_036_(2nd sampling),150
2024_Greenhouse,J455,D_CON_036_(2nd sampling),150
2024_Greenhouse,J456,D_CON_036_(2nd sampling),150
2024_Greenhouse,J457,D_CON_036_(3rd sampling),150
2024_Greenhouse,J458,D_CON_036_(3rd sampling),150
2024_Greenhouse,J459,D_CON_036_(3rd sampling),150
2024_Greenhouse,J460,D_CON_040_(1st sampling),150
2024_Greenhouse,J461,D_CON_040_(1st sampling),150
2024_Greenhouse,J462,D_CON_040_(1st sampling),150
2024_Greenhouse,J463,Cal50,50
2024_Greenhouse,J464,Cal150,150
2024_Greenhouse,J465,Cal300,300
2024_Greenhouse,J466,Cal450,450
2024_Greenhouse,J467,Cal50,50
2024_Greenhouse,J468,Cal150,150
2024_Greenhouse,J469,Cal300,300
2024_Greenhouse,J470,Cal450,450
2024_Greenhouse,J471,Cal50,50
2024_Greenhouse,J472,Cal150,150
2024_Greenhouse,J473,Cal300,300
2024_Greenhouse,J474,Cal450,450
2024_Greenhouse,J475,Cal50,50
2024_Greenhouse,J476,Cal150,150
2024_Greenhouse,J477,Cal300,300
2024_Greenhouse,J478,Cal450,450
2024_Greenhouse,J479,Cal50,50
2024_Greenhouse,J480,Cal150,150
2024_Greenhouse,J481,Cal300,300
2024_Greenhouse,J482,Cal450,450
2024_Greenhouse,J483,Cal50,50
2024_Greenhouse,J484,Cal150,150
2024_Greenhouse,J485,Cal300,300
2024_Greenhouse,J486,Cal450,450
2024_Greenhouse,J487,Cal50,50
2024_Greenhouse,J488,Cal150,150
2024_Greenhouse,J489,Cal300,300
2024_Greenhouse,J490,Cal450,450
2024_Greenhouse,J491,Cal50,50
2024_Greenhouse,J492,Cal150,150
2024_Greenhouse,J493,Cal300,300
2024_Greenhouse,J494,Cal450,450
NA,J495,Cal50,50
NA,J496,Cal150,150
NA,J497,Cal300,300
NA,J498,Cal450,450
NA,J499,Cal50,50
NA,J500,Cal150,150
NA,J501,Cal300,300
NA,J502,Cal450,450
NA,J503,Cal50,50
NA,J504,Cal150,150
NA,J505,Cal300,300
NA,J506,Cal450,450
NA,J507,Cal50,50
NA,J508,Cal150,150
